activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Control Compute Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Wear Environment Compensation architecture allocation,design_review,ready_for_review,pending,environmental_interface,Wear Environment Compensation,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Wear Environment Compensation requirement calculations,calculation,ready_for_review,pending,environmental_interface,Wear Environment Compensation,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Wear Environment Compensation critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Wear Environment Compensation,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:safety_protection,Review Patient Safety Protection architecture allocation,design_review,ready_for_review,pending,safety_protection,Patient Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
calculation:safety_protection,Verify Patient Safety Protection requirement calculations,calculation,ready_for_review,pending,safety_protection,Patient Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
design_review:maintenance_serviceability,Review Packaging Traceability Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Packaging Traceability Serviceability,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:maintenance_serviceability,Collect source-backed evidence for Packaging Traceability Serviceability critical components,source_evidence,blocked,source_evidence_required,maintenance_serviceability,Packaging Traceability Serviceability,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
interface_review:skin_patient_interface:sensing_instrumentation:interstitial_fluid_path,Verify interstitial_fluid_path interface contract,interface_review,ready_for_review,pending,skin_patient_interface:sensing_instrumentation,Skin Patient Interface -> Glucose Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
interface_review:actuation_kinematics:skin_patient_interface:insertion_path,Verify insertion_path interface contract,interface_review,ready_for_review,pending,actuation_kinematics:skin_patient_interface,Applicator Insertion Mechanism -> Skin Patient Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:sensor_signal_bus,Verify sensor_signal_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Glucose Sensing Instrumentation -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:calibration_data_bus,Verify calibration_data_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Glucose Sensing Instrumentation -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:power_distribution:cell_power_bus,Verify cell_power_bus interface contract,interface_review,ready_for_review,pending,energy_storage_source:power_distribution,Wearable Energy Source -> Low-Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:sensing_instrumentation:analog_power_rail,Verify analog_power_rail interface contract,interface_review,ready_for_review,pending,power_distribution:sensing_instrumentation,Low-Power Distribution -> Glucose Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:control_compute_communication:low_power_rail,Verify low_power_rail interface contract,interface_review,ready_for_review,pending,power_distribution:control_compute_communication,Low-Power Distribution -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:control_compute_communication:temperature_compensation_bus,Verify temperature_compensation_bus interface contract,interface_review,ready_for_review,pending,environmental_interface:control_compute_communication,Wear Environment Compensation -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:safety_protection:alarm_state_bus,Verify alarm_state_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:safety_protection,Control Compute Communication -> Patient Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
interface_review:maintenance_serviceability:skin_patient_interface:sterile_boundary,Verify sterile_boundary interface contract,interface_review,ready_for_review,pending,maintenance_serviceability:skin_patient_interface,Packaging Traceability Serviceability -> Skin Patient Interface,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:ISO-10993,Plan evidence for ISO-10993,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:ISO-14971,Plan evidence for ISO-14971,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-62304,Plan evidence for IEC-62304,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-60601-1,Plan evidence for IEC-60601-1,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
