name,website,firm_type,hq_city,hq_country,sectors,stage_focus,description,bvca_member,profile_url,source
Equistone Partners Europe,https://www.equistone.com,PE,London,UK,"Industrial Technology, Business Services, Healthcare",Mid-Market Buyout,,Yes,,seed
Bowmark Capital,https://www.bowmark.com,PE,London,UK,"Professional Services, Financial Services, Healthcare",Mid-Market Buyout,,Yes,,seed
August Equity,https://www.augustequity.com,PE,London,UK,"Healthcare, Education, Technology Services","Buyout, Growth",,Yes,,seed
Panoramic Growth Equity,https://www.panoramicgrowth.com,Growth,Edinburgh,UK,"Technology, Business Services, Consumer",Growth Capital,,Yes,,seed
Synova,https://www.synovacapital.com,PE,London,UK,"Technology, Healthcare, Financial Services",Lower Mid-Market,,Yes,,seed
Tenzing,https://www.tenzingpe.com,PE,London,UK,"Technology, Tech-Enabled Services",Lower Mid-Market,Independent private equity investor.,Yes,,seed
Limerston Capital,https://www.limerstoncapital.com,PE,London,UK,"Consumer, Business Services, Healthcare",Lower Mid-Market,,Yes,,seed
Horizon Capital,https://www.horizoncapital.co.uk,PE,London,UK,"Technology, Business Services","Growth, Buyout",,Yes,,seed
Living Bridge,https://www.livingbridge.com,PE,London,UK,"Healthcare, Education, Financial Services","Growth Capital, Buyout",,Yes,,seed
Literacy Capital,https://www.literacycapital.com,PE,London,UK,"Business Services, Technology, Consumer",Lower Mid-Market,,Yes,,seed
Praxis Capital,https://www.praxiscap.com,PE,London,UK,"Real Estate, Diversified","Growth, Buyout",,Yes,,seed
Gresham House,https://www.greshamhouse.com,PE,London,UK,"Forestry, Real Assets, Technology",Growth,,Yes,,seed
Abingworth LLP,,VC/PE,United Kingdom,UK,UK General Partner,,An international investment group exclusively focusing on life sciences and healthcare sectors.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/abingworth-llp/,ukpc_directory
ACA Group,,VC/PE,United Kingdom,UK,Professional Services,,"The leading governance, risk, and compliance advisor in financial services, empowering clients to reimagine GRC, protect and grow their business.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aca-group/,ukpc_directory
ACF Investors,,VC/PE,United Kingdom,UK,UK General Partner,,ACF Investors manage the Angel Cofund and Delta Fund and invest alongside sector smart angel investors in to scalable businesses,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/acf-investors/,ukpc_directory
Active Owners Denmark,,VC/PE,Denmark,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/active-owners-denmark/,ukpc_directory
Adams Street Partners,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Provider of global private markets investment management services.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/adams-street-partners/,ukpc_directory
Addleshaw Goddard LLP,,VC/PE,United Kingdom,UK,Law Firms,,UK business law firm with international reach.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/addleshaw-goddard-llp/,ukpc_directory
Adempi Associates,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/adempi-associates/,ukpc_directory
Advent International Ltd,,VC/PE,United Kingdom,UK,UK General Partner,,Global private equity firm investing in companies with operational and strategic improvement potential.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/advent-international-ltd/,ukpc_directory
Agathos Management LLP,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/agathos-management-llp/,ukpc_directory
AgFunder,,,United States,UK,,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/agfunder/,ukpc_directory
"AIFI (Italian Private Equity, Venture Capital and Private Debt Association",,VC/PE,Italy,UK,Honorary,,Focused on venture capital and private equity activity in Italy.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aifi-italian-private-equity-venture-capital-and-private-debt-association/,ukpc_directory
Akin Gump LLP,,VC/PE,United Kingdom,UK,Law Firms,,"Akin’s funds practice encompasses all aspects of fund formation and operations, including structuring, management, IR and portfolio company representation.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/akin-gump-llp-1/,ukpc_directory
Albion Capital,,VC/PE,United Kingdom,UK,UK General Partner,,Established venture capital investor focused on backing change and growth.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/albion-capital/,ukpc_directory
Alchemy Partners LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Focused on private equity and distressed investing across Europe.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alchemy-partners-llp/,ukpc_directory
Alcyon Holding Ltd,,VC/PE,Switzerland,UK,Institutional Investor,,Privately owned investment company focused on UK and European businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alcyon-holding-ltd/,ukpc_directory
Aliter Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Aliter Capital is a team of experienced support services entrepreneurs and investors dedicated to investment in small and mid-sized businesses in the UK support services sector,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aliter-capital-llp/,ukpc_directory
Alpha Group,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alpha-group/,ukpc_directory
AlpInvest Partners,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alpinvest-partners/,ukpc_directory
ALSA Ventures,,VC/PE,United Kingdom,UK,UK General Partner,,"Biotechnology investor, focused predominantly on early stage opportunities in Europe.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alsa-ventures/,ukpc_directory
Alta Advisers Ltd,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alta-advisers-ltd/,ukpc_directory
Alter Domus,,VC/PE,United Kingdom,UK,Professional Services,,European provider of Fund and Corporate Services.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alter-domus/,ukpc_directory
Alternative Investment Management Association (AIMA),,VC/PE,United Kingdom,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/alternative-investment-management-association-aima/,ukpc_directory
Altius Group,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/altius-group/,ukpc_directory
Altum Group,,VC/PE,Jersey,UK,Professional Services,,"We are a leading international provider of Fund, Corporate, and Family Office solutions. Established in 2000, Altum Group has more than $40bn AUA, with over 200 dedicated employees across five  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/altum-group/,ukpc_directory
Ama Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,"Ama Capital is a UK lower mid-market investment firm with a unique operator led model. We provide up to &pound;25m of investment to support UK SMEs in Financial &amp; Professional Services,  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ama-capital-llp/,ukpc_directory
Amadeus Capital Partners Limited,,VC/PE,United Kingdom,UK,UK General Partner,,Focused on technology companies with the potential to expand or create a new market.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/amadeus-capital-partners-limited/,ukpc_directory
American Investment Council,,VC/PE,United States,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/american-investment-council/,ukpc_directory
AnaCap Financial Partners Limited,,VC/PE,United Kingdom,UK,UK General Partner,,A specialist private equity firm focused on investing in the European financial services sector.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/anacap-financial-partners-limited/,ukpc_directory
Andersen Tax LLP,,VC/PE,United Kingdom,UK,Professional Services,,Andersen Tax provides UK and US tax services to private equity and venture capital firms.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/andersen-tax-llp/,ukpc_directory
Anthemis Group,,VC/PE,United Kingdom,UK,UK General Partner,,Anthemis is an investment and advisory firm focused on reinventing financial services for the 21st century.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/anthemis-group/,ukpc_directory
Anthesis Group,,VC/PE,United Kingdom,UK,Professional Services,,"Anthesis Group supports private equity funds and their portfolio companies with their Environmental, Social and Governance (ESG) challenges and opportunities.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/anthesis-group/,ukpc_directory
Anticus Partners Limited,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/anticus-partners-limited/,ukpc_directory
Aon,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aon/,ukpc_directory
Apax Partners UK Ltd,,VC/PE,United Kingdom,UK,UK General Partner,,A private equity group focused solely on long-term investment in growth companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apax-partners-uk-ltd/,ukpc_directory
Apera Asset Management LLP,,Debt,United Kingdom,UK,Private Credit,,Apera Asset Management is a private debt manager with a focus on providing capital solutions to mid-market companies in Western Europe.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apera-asset-management-llp/,ukpc_directory
Apex Fund and Corporate Services Limited,,VC/PE,United Kingdom,UK,Professional Services,,"Provider of Fund Solutions, Financial Solutions, Corporate Solutions.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apex-fund-and-corporate-services-limited/,ukpc_directory
APG Asset Management US Inc,,VC/PE,United States,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apg-asset-management-us-inc/,ukpc_directory
Apiary Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,"Apiary invests in the business services, education and healthcare sectors. The firm seeks to acquire platform companies in attractive market segments, subsequently driving transformational  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apiary-capital-llp/,ukpc_directory
Apiday,,VC/PE,France,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apiday/,ukpc_directory
Apis Partners Group (UK) Limited,,VC/PE,United Kingdom,UK,Impact Investment Fund,,"Apis Partners is an ESGI-native PE asset manager, primarily investing growth capital in asset-light FS companies and financial infrastructure businesses.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apis-partners-group-uk-limited/,ukpc_directory
Apollo Private Wealth Ltd,,VC/PE,United Kingdom,UK,Institutional Investor,,Apollo Private Wealth is a Multi-Family Office focused on acting for senior partners at leading Private Equity Firms.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/apollo-private-wealth-ltd/,ukpc_directory
Arcmont Asset Management,,Debt,United Kingdom,UK,Private Credit,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/arcmont-asset-management/,ukpc_directory
Ardian Investment,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ardian-investment/,ukpc_directory
Ardian Investment UK,,VC/PE,United Kingdom,UK,Third-party Fund Manager,,Providing investment management services to UK businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ardian-investment-uk/,ukpc_directory
Ares Management,,Debt,United Kingdom,UK,Private Credit,,"Publicly traded, global alternative asset manager.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ares-management/,ukpc_directory
Argentum Asset Management,,VC/PE,Norway,UK,Institutional Investor,,Asset manager specializing in Nordic investments and energy-focused private equity funds.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/argentum-asset-management/,ukpc_directory
Armen,,VC/PE,France,UK,UK General Partner,,"Armen is a purpose-driven company investing in European alternative investment companies (Private Equity, Private Debt, Infrastructure and Real Estate).",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/armen/,ukpc_directory
Arrow Global,,Debt,United Kingdom,UK,Private Credit,,"Founded in 2005, Arrow Global is a leading European alternative asset manager with a vertically integrated investment model across private credit and real estate. Arrow owns 25 best-in-class  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/arrow-global/,ukpc_directory
Arthur J. Gallagher (UK) Limited,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/arthur-j-gallagher-uk-limited/,ukpc_directory
Asante Capital Group LLP,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/asante-capital-group-llp/,ukpc_directory
Ashurst,,VC/PE,United Kingdom,UK,Law Firms,,Global law firm with a history spanning almost 200 years.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/ashurst/,ukpc_directory
Association of British HealthTech Industries,,VC/PE,United Kingdom,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/association-of-british-healthtech-industries/,ukpc_directory
Asteria Space,,,United Kingdom,UK,,,Asteria Space is a specialist early-stage venture capital firm investing exclusively in globally scalable Space-Tech startups.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/asteria-space/,ukpc_directory
Atempo Growth,,,United Kingdom,UK,,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/atempo-growth/,ukpc_directory
Atlantic Bridge Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,A global growth equity fund focused on technology investments.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/atlantic-bridge-capital-llp/,ukpc_directory
Atomico (UK) Partners LLP,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/atomico-uk-partners-llp/,ukpc_directory
ATOZ Tax Advisers,,VC/PE,Luxembourg,UK,Professional Services,,"ATOZ is an independent advisory firm offering International & Corporate tax, Indirect tax, Corporate Implementation, Transfer Pricing, Corporate Finance services.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/atoz-tax-advisers/,ukpc_directory
Audax Strategic Capital,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/audax-strategic-capital/,ukpc_directory
August Equity LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Leading UK lower mid-market private equity firm with over 20 years&rsquo; experience with a focus on primary buyouts in essential services and B2B software.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/august-equity-llp/,ukpc_directory
Australian Investment Council,,VC/PE,Australia,UK,Honorary,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/australian-investment-council/,ukpc_directory
AustralianSuper,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/australiansuper/,ukpc_directory
Aver Partners,,VC/PE,Guernsey,UK,Professional Services,,"Independent Director Services built on years of proven experience, and consistently assuring the trust of our clients.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aver-partners/,ukpc_directory
Averroes Capital Limited,,VC/PE,United Kingdom,UK,UK General Partner,,Averroes Capital is a private equity investor focussed on the UK mid-market and headquartered in London.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/averroes-capital-limited/,ukpc_directory
Aviva Investors,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aviva-investors/,ukpc_directory
Aztec Group,,VC/PE,United Kingdom,UK,Professional Services,,"Established in 2001, Aztec Group is an award-winning provider of fund and corporate services.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/aztec-group/,ukpc_directory
B.P. Marsh & Partners Plc,,PE,United Kingdom,UK,Direct Investor,,B.P. Marsh & Partners PLC is a specialist VC/PE investor in early stage and growing financial services businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bp-marsh-partners-plc/,ukpc_directory
Backed VC,,VC/PE,United Kingdom,UK,UK General Partner,,BACKED VC is Europe&rsquo;s seed‑stage frontier‑tech fund.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/backed-vc/,ukpc_directory
Bain Capital Europe LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Bain Capital Europe's primary objective is to grow and build great companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bain-capital-europe-llp/,ukpc_directory
Baird Capital,,VC/PE,United Kingdom,UK,UK General Partner,,"Investors in venture capital, growth equity and private equity in strategically targeted sectors globally",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/baird-capital/,ukpc_directory
Baker & McKenzie LLP,,VC/PE,United Kingdom,UK,Law Firms,,Global law firm providing clients with global and local legal advice.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/baker-mckenzie-llp/,ukpc_directory
Barclays Bank PLC,,VC/PE,United Kingdom,UK,UK General Partner,,Investment activity focused on existing Barclays customers only,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/barclays-bank-plc/,ukpc_directory
Bayes Entrepreneurship Fund,,VC/PE,United Kingdom,UK,UK General Partner,,A &pound;10m Venture Capital Fund investing in high-potential early-stage businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bayes-entrepreneurship-fund/,ukpc_directory
BBC Ventures,,VC/PE,United Kingdom,UK,Impact Investment Fund,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bbc-ventures/,ukpc_directory
BC Partners,,VC/PE,United Kingdom,UK,UK General Partner,,Focused on buy-outs of larger businesses with defensive growth characteristics in Europe and selectively elsewhere.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bc-partners/,ukpc_directory
BDO LLP,,VC/PE,United Kingdom,UK,Professional Services,,Chartered Accountants providing professional services to mid-market UK and international businesses.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bdo-llp/,ukpc_directory
Beazley Management Limited,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/beazley-management-limited/,ukpc_directory
Bedell Cristin,,VC/PE,Jersey,UK,Law Firms,,"Bedell Cristin is an award-winning law firm with expertise in all areas of Jersey, Guernsey and BVI law; it has the agility to drive success for clients in a fast moving world.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bedell-cristin/,ukpc_directory
Beech Tree Private Equity,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/beech-tree-private-equity/,ukpc_directory
Beechbrook Capital,,Debt,United Kingdom,UK,Private Credit,,Providing innovative and flexible finance to support the acquisition or expansion of SMEs.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/beechbrook-capital/,ukpc_directory
Belasko Group,,VC/PE,United Kingdom,UK,Professional Services,,"Belasko are redefining what exceptional looks like in fund and fiduciary services. Whether you’re a fund manager, entrepreneur, family office or high-net-worth individual, we deliver tailored  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/belasko-group/,ukpc_directory
Beringea LLP,,VC/PE,United Kingdom,UK,UK General Partner,,An international venture and growth capital investor.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/beringea-llp/,ukpc_directory
Better Society Capital Limited,,VC/PE,United Kingdom,UK,Institutional Investor,,Independent financial institution set up to help grow social investment in the UK.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/better-society-capital-limited/,ukpc_directory
BGF Ventures,,VC/PE,United Kingdom,UK,UK General Partner,,"BGF Ventures invest in entrepreneurs who are building something important &ndash; something that with the right investment and long-term support, might even change the world.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bgf-ventures/,ukpc_directory
Big Issue Invest,,VC/PE,United Kingdom,UK,Institutional Investor,,The social investment arm of the Big Issue.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/big-issue-invest/,ukpc_directory
Bird & Bird,,VC/PE,United Kingdom,UK,Law Firms,,International law firm focused on in business sectors where technology plays a key role.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bird-bird/,ukpc_directory
BlackRock,,VC/PE,France,UK,Professional Services,,Software provider of solutions dedicated to the financial industry.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blackrock/,ukpc_directory
Blacks Solicitors,,VC/PE,United Kingdom,UK,Law Firms,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blacks-solicitors/,ukpc_directory
Blackstone Europe LLP,,VC/PE,United Kingdom,UK,UK General Partner,,"Global investment firm investing across a wide spectrum of regions, industries, and asset classes.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blackstone-europe-llp/,ukpc_directory
Blick Rothenberg,,VC/PE,United Kingdom,UK,Professional Services,,Blick Rothenberg is one of the leading firms of accounting and business advisors in the private equity and venture capital sector.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blick-rothenberg/,ukpc_directory
Blue Coast Capital,,VC/PE,United Kingdom,UK,Institutional Investor,,"The origins of the company lie in post-war retailing. Founders of the iconic 60s retailer Chelsea Girl and later River Island diversified their portfolio of businesses to include real estate,  &#8230;",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blue-coast-capital/,ukpc_directory
Blue Cube Travel,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blue-cube-travel/,ukpc_directory
Blue-Green Advisors,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/blue-green-advisors/,ukpc_directory
BNP Paribas S.A,,VC/PE,United Kingdom,UK,Professional Services,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bnp-paribas-sa/,ukpc_directory
Bootstrap Europe,,Debt,Luxembourg,UK,Private Credit,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bootstrap-europe/,ukpc_directory
Border to Coast,,VC/PE,United Kingdom,UK,Institutional Investor,,Border to Coast Pensions Partnership – A UK-based LGPS asset pool managing investments for 11 funds with a focus on cost efficiency and responsible investment.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/border-to-coast/,ukpc_directory
Bowmark Capital LLP,,VC/PE,United Kingdom,UK,UK General Partner,,Mid-market private equity investment firm specialising in UK growth companies.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bowmark-capital-llp/,ukpc_directory
Boxfund VC,,VC/PE,United Kingdom,UK,UK General Partner,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/boxfund-vc/,ukpc_directory
BP Investment Management,,VC/PE,United Kingdom,UK,Institutional Investor,,Focused on small business owners and real estate investors.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bp-investment-management/,ukpc_directory
BP Technology Ventures Ltd,,CVC,United Kingdom,UK,Corporate Venture,,"Investors in private, high growth, disruptive technology companies, with innovations applicable to the energy sector.",Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bp-technology-ventures-ltd/,ukpc_directory
Bregal Capital LLP,,PE,United Kingdom,UK,Direct Investor,,Private equity firm with fund commitments since inception of more than €3 billion.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bregal-capital-llp/,ukpc_directory
Bregal Investments LLP,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bregal-investments-llp/,ukpc_directory
Bregal Milestone LLP,,VC/PE,United Kingdom,UK,Institutional Investor,,,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bregal-milestone-llp/,ukpc_directory
Bridges Fund Management Limited,,VC/PE,United Kingdom,UK,Impact Investment Fund,,A specialist fund manager dedicated to sustainable and impact investing.,Yes,https://www.ukprivatecapital.co.uk/organisation-profile/bridges-fund-management-limited/,ukpc_directory
