id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
interface:energy_storage_source:power_distribution:battery_dc_bus,interface_closure,model_present,energy_storage_source -> power_distribution,battery_dc_bus is named on both endpoint modules in the generated architecture.,Night-cycle battery energy must connect into load distribution.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,battery_dc_bus,,false,false
interface:power_distribution:actuation_kinematics:propulsion_power_bus,interface_closure,model_present,power_distribution -> actuation_kinematics,propulsion_power_bus is named on both endpoint modules in the generated architecture.,Propulsion loads must receive protected high-current power.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,propulsion_power_bus,,false,false
interface:control_compute_communication:actuation_kinematics:flight_control_bus,interface_closure,model_present,control_compute_communication -> actuation_kinematics,flight_control_bus is named on both endpoint modules in the generated architecture.,Flight controller must command propulsion and trim actuators.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,flight_control_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:sensor_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,sensor_bus is named on both endpoint modules in the generated architecture.,"Navigation, airdata and structural state must feed autonomy decisions.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
interface:payload_communication:control_compute_communication:payload_data_link,interface_closure,model_present,payload_communication -> control_compute_communication,payload_data_link is named on both endpoint modules in the generated architecture.,Payload state must be visible to vehicle autonomy and telemetry.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,payload_data_link,,false,false
interface:environmental_interface:energy_storage_source:thermal_path,interface_closure,model_present,environmental_interface -> energy_storage_source,thermal_path is named on both endpoint modules in the generated architecture.,Battery survival and night-cycle capacity depend on a declared thermal path.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,thermal_path,,false,false
interface:safety_protection:control_compute_communication:telemetry_link,interface_closure,model_present,safety_protection -> control_compute_communication,telemetry_link is named on both endpoint modules in the generated architecture.,"Abort, descent and recovery state must remain visible to ground operators.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,telemetry_link,,false,false
component:structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,critical_component,source_required,High-aspect-ratio wing structure,High-aspect-ratio wing structure is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,high_aspect_ratio_wing_structure,false,true
component:energy_harvesting_solar_skin_array_solar_cell_array,critical_component,source_required,Solar cell array,Solar cell array is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,solar_cell_array,false,true
component:energy_harvesting_mppt_conversion_mppt_power_tracker,critical_component,source_required,MPPT power tracker,MPPT power tracker is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,mppt_power_tracker,false,true
component:energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack,critical_component,source_required,Stratospheric battery pack,Stratospheric battery pack is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,stratospheric_battery_pack,false,true
component:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod,critical_component,source_required,Electric propulsion pod,Electric propulsion pod is a critical architecture-derived component candidate with quantity 4 each.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,electric_propulsion_pod,false,true
component:control_compute_communication_flight_control_computer_flight_control_computer,critical_component,source_required,Flight control computer,Flight control computer is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,flight_control_computer,false,true
component:control_compute_communication_ground_command_link_ground_control_link,critical_component,source_required,Ground control link,Ground control link is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ground_control_link,false,true
component:sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit,critical_component,source_required,GNSS INS navigation unit,GNSS INS navigation unit is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,gnss_ins_navigation_unit,false,true
component:payload_communication_payload_radio_stratospheric_communications_payload,critical_component,source_required,Stratospheric communications payload,Stratospheric communications payload is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,stratospheric_communications_payload,false,true
component:payload_communication_antenna_aperture_payload_antenna_array,critical_component,source_required,Payload antenna array,Payload antenna array is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,payload_antenna_array,false,true
component:environmental_interface_thermal_protection_thermal_insulation_blanket,critical_component,source_required,Thermal insulation blanket,Thermal insulation blanket is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,thermal_insulation_blanket,false,true
component:safety_protection_abort_recovery_recovery_parachute_system,critical_component,source_required,Recovery parachute system,Recovery parachute system is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.haps,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,recovery_parachute_system,false,true
compliance:CAA-UAS-OPS,compliance_evidence,review_required,CAA-UAS-OPS,High-altitude unmanned aircraft operational safety case is relevant to this product class in UK / aviation authority review.,class_pack:haps.class_pack,"Airspace concept of operations, detect-and-avoid assumptions, command link and recovery evidence.",,,,false,false
compliance:DO-160-ENV,compliance_evidence,review_required,DO-160-ENV,Airborne equipment environmental conditions is relevant to this product class in Aviation engineering reference.,class_pack:haps.class_pack,"Temperature, vibration, electrical power and EMC environmental evidence tailored to stratospheric operation.",,,,false,false
compliance:SOLAR-ENERGY-BALANCE-REVIEW,compliance_evidence,review_required,SOLAR-ENERGY-BALANCE-REVIEW,Solar day/night energy balance review is relevant to this product class in Project engineering gate.,class_pack:haps.class_pack,"Solar collection, battery night-cycle, propulsion load and station-keeping wind model evidence.",,,,false,false
