id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
interface:control_compute_communication:energy_conversion_transduction:control_bus,interface_closure,model_present,control_compute_communication -> energy_conversion_transduction,control_bus is named on both endpoint modules in the generated architecture.,Controller must command compressor and expansion valve operation.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,control_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:sensor_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,sensor_bus is named on both endpoint modules in the generated architecture.,Controller must receive pressure and temperature feedback for protection and efficiency.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
component:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,critical_component,source_required,Inverter scroll compressor,Inverter scroll compressor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,inverter_scroll_compressor,false,true
component:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,critical_component,source_required,Electronic expansion valve,Electronic expansion valve is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,electronic_expansion_valve,false,true
component:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,critical_component,source_required,Outdoor finned evaporator coil,Outdoor finned evaporator coil is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,outdoor_finned_evaporator_coil,false,true
component:environmental_interface_fan_air_path_variable_speed_fan_assembly,critical_component,source_required,Variable-speed fan assembly,Variable-speed fan assembly is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,variable_speed_fan_assembly,false,true
component:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,critical_component,source_required,Brazed plate heat exchanger,Brazed plate heat exchanger is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,brazed_plate_heat_exchanger,false,true
component:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,critical_component,source_required,Hydronic circulation pump,Hydronic circulation pump is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,hydronic_circulation_pump,false,true
component:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,critical_component,source_required,Hydronic safety valve kit,Hydronic safety valve kit is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,hydronic_safety_valve_kit,false,true
component:control_compute_communication_main_controller_heat_pump_controller_pcb,critical_component,source_required,Heat pump controller PCB,Heat pump controller PCB is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,heat_pump_controller_pcb,false,true
component:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,critical_component,source_required,Refrigerant sensor and pressure transducers,Refrigerant sensor and pressure transducers is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,refrigerant_sensor_and_pressure_transducers,false,true
compliance:EN-14511,compliance_evidence,review_required,EN-14511,Heat pump performance test conditions is relevant to this product class in UK/EU.,class_pack:heat_pump.class_pack,"Capacity, COP and operating-point test evidence.",,,,false,false
compliance:EN-378,compliance_evidence,review_required,EN-378,Refrigerating systems and heat pumps safety is relevant to this product class in UK/EU.,class_pack:heat_pump.class_pack,"Refrigerant charge, pressure protection and safety assessment.",,,,false,false
compliance:EN-60335-2-40,compliance_evidence,review_required,EN-60335-2-40,Electrical safety for heat pumps and air conditioners is relevant to this product class in UK/EU.,class_pack:heat_pump.class_pack,"Electrical safety, leakage, temperature and abnormal-operation evidence.",,,,false,false
