id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
assumption:sanity:edgeai_secure_management,assumption_review,major,needs_review,Secure Management,"Secure Management currently evaluates as pass against secure boot chain, management network, service access and TPM present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:IEC-62368-1,assumption_review,major,needs_review,IEC-62368-1,"Audio/video, ICT and communication equipment safety is relevant to this product class in UK/EU/global.","Electrical safety, enclosure, temperature and abnormal-operation evidence.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:CE-EMC,assumption_review,major,needs_review,CE-EMC,Electromagnetic compatibility technical file is relevant to this product class in UK/EU.,"EMC design review, pre-compliance or test evidence for rack appliance.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:SECURE-BOOT-REVIEW,assumption_review,major,needs_review,SECURE-BOOT-REVIEW,Secure boot and fleet-management review is relevant to this product class in Project security gate.,"TPM, measured boot, firmware signing, recovery and management-access evidence.",engineering_review,publishable,,engineering_assumption_ledger
sourcing:1u_rack_chassis,sourcing_evidence,blocker,ready_for_intake,1U rack chassis,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,1u_rack_chassis,sourcing_worklist
sourcing:ai_accelerator_module,sourcing_evidence,blocker,ready_for_intake,AI accelerator module,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,ai_accelerator_module,sourcing_worklist
sourcing:cpu_module,sourcing_evidence,blocker,ready_for_intake,CPU module,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,cpu_module,sourcing_worklist
sourcing:ecc_memory,sourcing_evidence,blocker,ready_for_intake,ECC memory,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,ecc_memory,sourcing_worklist
sourcing:system_motherboard,sourcing_evidence,blocker,ready_for_intake,System motherboard,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,system_motherboard,sourcing_worklist
sourcing:high_speed_nic,sourcing_evidence,blocker,ready_for_intake,High-speed NIC,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,high_speed_nic,sourcing_worklist
sourcing:nvme_ssd,sourcing_evidence,blocker,ready_for_intake,NVMe SSD,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,nvme_ssd,sourcing_worklist
sourcing:bmc_management_controller,sourcing_evidence,blocker,ready_for_intake,BMC management controller,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,bmc_management_controller,sourcing_worklist
sourcing:redundant_power_supply,sourcing_evidence,blocker,ready_for_intake,Redundant power supply,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,redundant_power_supply,sourcing_worklist
sourcing:fan_wall_assembly,sourcing_evidence,blocker,ready_for_intake,Fan wall assembly,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,fan_wall_assembly,sourcing_worklist
sourcing:heatsink_cold_plate,sourcing_evidence,blocker,ready_for_intake,Heatsink cold plate,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,heatsink_cold_plate,sourcing_worklist
sourcing:tpm_security_module,sourcing_evidence,blocker,ready_for_intake,TPM security module,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,tpm_security_module,sourcing_worklist
verification:design_review:structure_containment,verification_evidence,major,ready_for_intake,Rack Structure Containment,Review Rack Structure Containment architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:structure_containment,verification_evidence_ledger
verification:calculation:structure_containment,verification_evidence,major,ready_for_intake,Rack Structure Containment,Verify Rack Structure Containment requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:structure_containment,verification_evidence_ledger
verification:design_review:compute_acceleration,verification_evidence,major,ready_for_intake,Compute Acceleration,Review Compute Acceleration architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:compute_acceleration,verification_evidence_ledger
verification:calculation:compute_acceleration,verification_evidence,major,ready_for_intake,Compute Acceleration,Verify Compute Acceleration requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:compute_acceleration,verification_evidence_ledger
verification:design_review:network_io,verification_evidence,major,ready_for_intake,Network IO,Review Network IO architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:network_io,verification_evidence_ledger
verification:design_review:data_storage,verification_evidence,major,ready_for_intake,Data Storage,Review Data Storage architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:data_storage,verification_evidence_ledger
verification:design_review:control_compute_communication,verification_evidence,major,ready_for_intake,Control Compute Communication,Review Control Compute Communication architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:control_compute_communication,verification_evidence_ledger
verification:calculation:control_compute_communication,verification_evidence,major,ready_for_intake,Control Compute Communication,Verify Control Compute Communication requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:control_compute_communication,verification_evidence_ledger
verification:design_review:power_distribution,verification_evidence,major,ready_for_intake,Power Distribution,Review Power Distribution architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:power_distribution,verification_evidence_ledger
verification:calculation:power_distribution,verification_evidence,major,ready_for_intake,Power Distribution,Verify Power Distribution requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:power_distribution,verification_evidence_ledger
verification:design_review:environmental_interface,verification_evidence,major,ready_for_intake,Thermal Airflow Interface,Review Thermal Airflow Interface architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:environmental_interface,verification_evidence_ledger
verification:calculation:environmental_interface,verification_evidence,major,ready_for_intake,Thermal Airflow Interface,Verify Thermal Airflow Interface requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:environmental_interface,verification_evidence_ledger
verification:design_review:sensing_instrumentation,verification_evidence,major,ready_for_intake,Telemetry Instrumentation,Review Telemetry Instrumentation architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:sensing_instrumentation,verification_evidence_ledger
verification:design_review:safety_protection,verification_evidence,major,ready_for_intake,Security And Safety Protection,Review Security And Safety Protection architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:safety_protection,verification_evidence_ledger
verification:calculation:safety_protection,verification_evidence,major,ready_for_intake,Security And Safety Protection,Verify Security And Safety Protection requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:safety_protection,verification_evidence_ledger
verification:design_review:maintenance_serviceability,verification_evidence,major,ready_for_intake,Field Maintenance Serviceability,Review Field Maintenance Serviceability architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:maintenance_serviceability,verification_evidence_ledger
verification:calculation:maintenance_serviceability,verification_evidence,major,ready_for_intake,Field Maintenance Serviceability,Verify Field Maintenance Serviceability requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:maintenance_serviceability,verification_evidence_ledger
verification:interface_review:control_compute_communication:compute_acceleration:pcie_fabric,verification_evidence,major,ready_for_intake,Control Compute Communication -> Compute Acceleration,Verify pcie_fabric interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:control_compute_communication:compute_acceleration:pcie_fabric,verification_evidence_ledger
verification:interface_review:power_distribution:compute_acceleration:gpu_power_bus,verification_evidence,major,ready_for_intake,Power Distribution -> Compute Acceleration,Verify gpu_power_bus interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:power_distribution:compute_acceleration:gpu_power_bus,verification_evidence_ledger
verification:interface_review:network_io:control_compute_communication:inference_network,verification_evidence,major,ready_for_intake,Network IO -> Control Compute Communication,Verify inference_network interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:network_io:control_compute_communication:inference_network,verification_evidence_ledger
verification:interface_review:data_storage:control_compute_communication:storage_bus,verification_evidence,major,ready_for_intake,Data Storage -> Control Compute Communication,Verify storage_bus interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:data_storage:control_compute_communication:storage_bus,verification_evidence_ledger
verification:interface_review:environmental_interface:compute_acceleration:thermal_path,verification_evidence,major,ready_for_intake,Thermal Airflow Interface -> Compute Acceleration,Verify thermal_path interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:environmental_interface:compute_acceleration:thermal_path,verification_evidence_ledger
verification:interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,verification_evidence,major,ready_for_intake,Telemetry Instrumentation -> Control Compute Communication,Verify sensor_bus interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,verification_evidence_ledger
verification:interface_review:safety_protection:power_distribution:hardwired_trip,verification_evidence,major,ready_for_intake,Security And Safety Protection -> Power Distribution,Verify hardwired_trip interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:safety_protection:power_distribution:hardwired_trip,verification_evidence_ledger
verification:interface_review:structure_containment:environmental_interface:airflow_path,verification_evidence,major,ready_for_intake,Rack Structure Containment -> Thermal Airflow Interface,Verify airflow_path interface contract,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,interface_review:structure_containment:environmental_interface:airflow_path,verification_evidence_ledger
verification:compliance_review:IEC-62368-1,verification_evidence,major,ready_for_intake,System Compliance,Plan evidence for IEC-62368-1,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,compliance_review:IEC-62368-1,verification_evidence_ledger
verification:compliance_review:CE-EMC,verification_evidence,major,ready_for_intake,System Compliance,Plan evidence for CE-EMC,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,compliance_review:CE-EMC,verification_evidence_ledger
verification:compliance_review:SECURE-BOOT-REVIEW,verification_evidence,major,ready_for_intake,System Compliance,Plan evidence for SECURE-BOOT-REVIEW,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,compliance_review:SECURE-BOOT-REVIEW,verification_evidence_ledger
verification:risk_review:1,verification_evidence,major,ready_for_intake,System Risk Register,Review risk control for Accelerator thermal throttling or shutdown under rack inlet conditions,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,risk_review:1,verification_evidence_ledger
verification:risk_review:2,verification_evidence,major,ready_for_intake,System Risk Register,Review risk control for Insecure firmware or management interface compromise,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,risk_review:2,verification_evidence_ledger
verification:risk_review:3,verification_evidence,major,ready_for_intake,System Risk Register,"Review risk control for Inference outage from PSU, fan or SSD failure",Collect reviewer evidence through the verification intake template.,verification_intake,publishable,risk_review:3,verification_evidence_ledger
