id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
component:environmental_interface_temperature_control_loop_temperature_control_loop,critical_component,source_required,Temperature control loop,Temperature control loop is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,temperature_control_loop,false,true
component:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set,critical_component,source_required,Exhaust filter and pressure relief set,Exhaust filter and pressure relief set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,exhaust_filter_and_pressure_relief_set,false,true
component:sensing_instrumentation_do_ph_sensing_dissolved_oxygen_optical_sensor,critical_component,source_required,Dissolved oxygen optical sensor,Dissolved oxygen optical sensor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,dissolved_oxygen_optical_sensor,false,true
component:sensing_instrumentation_do_ph_sensing_single_use_ph_sensor,critical_component,source_required,Single-use pH sensor,Single-use pH sensor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,single_use_ph_sensor,false,true
component:sensing_instrumentation_pressure_mass_temperature_sensing_load_cell_set,critical_component,source_required,Load cell set,Load cell set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,load_cell_set,false,true
component:control_compute_communication_process_controller_bioreactor_controller,critical_component,source_required,Bioreactor controller,Bioreactor controller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,bioreactor_controller,false,true
compliance:ISO-13485,compliance_evidence,review_required,ISO-13485,Quality management for medical-device-adjacent manufacturing systems is relevant to this product class in Global / supplier quality.,class_pack:bioreactor.class_pack,"Supplier quality evidence, change control and traceability where applicable.",,,,false,false
compliance:USP-CLASS-VI,compliance_evidence,review_required,USP-CLASS-VI,Biocompatibility for polymer contact materials is relevant to this product class in US / global supplier evidence.,class_pack:bioreactor.class_pack,Material certificates for single-use bag and tubing contact surfaces.,,,,false,false
compliance:IEC-61010,compliance_evidence,review_required,IEC-61010,Electrical safety for laboratory control equipment is relevant to this product class in UK/EU/global.,class_pack:bioreactor.class_pack,"Electrical safety design, protective earth and abnormal operation evidence.",,,,false,false
compliance:EU-GMP-ANNEX-11,compliance_evidence,review_required,EU-GMP-ANNEX-11,Computerised systems for GMP records is relevant to this product class in EU / pharma operations.,class_pack:bioreactor.class_pack,"Batch record integrity, audit trail and access-control evidence.",,,,false,false
