activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
calculation:power_distribution,Verify Flight Power Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,Flight Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
design_review:actuation_kinematics,Review Propulsion And Control Surfaces architecture allocation,design_review,ready_for_review,pending,actuation_kinematics,Propulsion And Control Surfaces,,,,,Collect reviewer evidence through the verification intake template.
calculation:actuation_kinematics,Verify Propulsion And Control Surfaces requirement calculations,calculation,ready_for_review,pending,actuation_kinematics,Propulsion And Control Surfaces,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:actuation_kinematics,Collect source-backed evidence for Propulsion And Control Surfaces critical components,source_evidence,blocked,source_evidence_required,actuation_kinematics,Propulsion And Control Surfaces,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Autonomy Control Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Autonomy Control Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Autonomy Control Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Autonomy Control Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Autonomy Control Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Autonomy Control Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Navigation And Airdata Sensing architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Navigation And Airdata Sensing,,,,,Collect reviewer evidence through the verification intake template.
calculation:sensing_instrumentation,Verify Navigation And Airdata Sensing requirement calculations,calculation,ready_for_review,pending,sensing_instrumentation,Navigation And Airdata Sensing,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Navigation And Airdata Sensing critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Navigation And Airdata Sensing,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:payload_communication,Review Communications Payload architecture allocation,design_review,ready_for_review,pending,payload_communication,Communications Payload,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:payload_communication,Collect source-backed evidence for Communications Payload critical components,source_evidence,blocked,source_evidence_required,payload_communication,Communications Payload,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Stratospheric Environmental Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Stratospheric Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Stratospheric Environmental Interface requirement calculations,calculation,ready_for_review,pending,environmental_interface,Stratospheric Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Stratospheric Environmental Interface critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Stratospheric Environmental Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:safety_protection,Review Flight Safety And Recovery architecture allocation,design_review,ready_for_review,pending,safety_protection,Flight Safety And Recovery,,,,,Collect reviewer evidence through the verification intake template.
calculation:safety_protection,Verify Flight Safety And Recovery requirement calculations,calculation,ready_for_review,pending,safety_protection,Flight Safety And Recovery,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:safety_protection,Collect source-backed evidence for Flight Safety And Recovery critical components,source_evidence,blocked,source_evidence_required,safety_protection,Flight Safety And Recovery,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:maintenance_serviceability,Review Ground Handling Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Ground Handling Serviceability,,,,,Collect reviewer evidence through the verification intake template.
calculation:maintenance_serviceability,Verify Ground Handling Serviceability requirement calculations,calculation,ready_for_review,pending,maintenance_serviceability,Ground Handling Serviceability,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_harvesting:power_distribution:solar_dc_bus,Verify solar_dc_bus interface contract,interface_review,ready_for_review,pending,energy_harvesting:power_distribution,Solar Energy Harvesting -> Flight Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:power_distribution:battery_dc_bus,Verify battery_dc_bus interface contract,interface_review,ready_for_review,pending,energy_storage_source:power_distribution,Night-Cycle Energy Storage -> Flight Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:actuation_kinematics:propulsion_power_bus,Verify propulsion_power_bus interface contract,interface_review,ready_for_review,pending,power_distribution:actuation_kinematics,Flight Power Distribution -> Propulsion And Control Surfaces,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:actuation_kinematics:flight_control_bus,Verify flight_control_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:actuation_kinematics,Autonomy Control Communication -> Propulsion And Control Surfaces,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Navigation And Airdata Sensing -> Autonomy Control Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:payload_communication:control_compute_communication:payload_data_link,Verify payload_data_link interface contract,interface_review,ready_for_review,pending,payload_communication:control_compute_communication,Communications Payload -> Autonomy Control Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:energy_storage_source:thermal_path,Verify thermal_path interface contract,interface_review,ready_for_review,pending,environmental_interface:energy_storage_source,Stratospheric Environmental Interface -> Night-Cycle Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
interface_review:safety_protection:control_compute_communication:telemetry_link,Verify telemetry_link interface contract,interface_review,ready_for_review,pending,safety_protection:control_compute_communication,Flight Safety And Recovery -> Autonomy Control Communication,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:CAA-UAS-OPS,Plan evidence for CAA-UAS-OPS,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:DO-160-ENV,Plan evidence for DO-160-ENV,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:SOLAR-ENERGY-BALANCE-REVIEW,Plan evidence for SOLAR-ENERGY-BALANCE-REVIEW,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Energy-negative overnight operation,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Wing structural failure in gust or launch handling,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:3,Review risk control for Lost command link or uncontrolled descent,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
