activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
interface_review:sensing_instrumentation:control_compute_communication:navigation_sensor_bus,Verify navigation_sensor_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Navigation And Payload Sensing -> Autonomy Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:payload_data_bus,Verify payload_data_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Navigation And Payload Sensing -> Autonomy Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:structure_containment:pressure_boundary,Verify pressure_boundary interface contract,interface_review,ready_for_review,pending,environmental_interface:structure_containment,Pressure Thermal Buoyancy Interface -> Pressure Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
interface_review:safety_protection:control_compute_communication:alarm_bus,Verify alarm_bus interface contract,interface_review,ready_for_review,pending,safety_protection:control_compute_communication,Leak Abort And Recovery Safety -> Autonomy Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:safety_protection:structure_containment:pressure_boundary,Verify pressure_boundary interface contract,interface_review,ready_for_review,pending,safety_protection:structure_containment,Leak Abort And Recovery Safety -> Pressure Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:PRESSURE-BOUNDARY-REVIEW,Plan evidence for PRESSURE-BOUNDARY-REVIEW,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:SUBSEA-LEAK-ABORT-REVIEW,Plan evidence for SUBSEA-LEAK-ABORT-REVIEW,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:EMC-MARINE-COMMS-REVIEW,Plan evidence for EMC-MARINE-COMMS-REVIEW,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Pressure hull or seal failure at depth,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Loss of navigation or communications underwater,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:3,Review risk control for Unable to recover vehicle after abort,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
