id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
control_compute_communication:ems_controller,control_compute_communication,Control Compute And Communication,ems_controller,EMS controller,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): modbus_tcp, site_scada. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
control_compute_communication:communications_gateway,control_compute_communication,Control Compute And Communication,communications_gateway,Communications gateway,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): site_scada, modbus_tcp. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
control_compute_communication:cybersecurity_monitoring,control_compute_communication,Control Compute And Communication,cybersecurity_monitoring,Cybersecurity monitoring,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): site_scada, modbus_tcp, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:fire_suppression,safety_protection,Safety Protection And Interlocks,fire_suppression,Fire suppression system,review,yes,5,2,0,1,0,0,0,2,2,0,0,2,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): alarm_bus, fire_boundary. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
safety_protection:emergency_stop,safety_protection,Safety Protection And Interlocks,emergency_stop,Emergency stop chain,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): hardwired_trip, dc_bus, ac_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:surge_fault_protection,safety_protection,Safety Protection And Interlocks,surge_fault_protection,Surge and fault protection,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): dc_bus, ac_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:deflagration_venting,safety_protection,Safety Protection And Interlocks,deflagration_venting,Deflagration venting,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): fire_boundary, alarm_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
environmental_interface:hvac_unit,environmental_interface,Environmental Interface,hvac_unit,HVAC unit,review,yes,4,4,0,0,0,1,0,3,3,0,0,2,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): electrical_power, thermal_path, sensor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
environmental_interface:ventilation_path,environmental_interface,Environmental Interface,ventilation_path,Ventilation path,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): thermal_path, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
environmental_interface:thermal_insulation,environmental_interface,Environmental Interface,thermal_insulation,Thermal insulation,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): fire_boundary, thermal_path. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
environmental_interface:heat_rejection_coil,environmental_interface,Environmental Interface,heat_rejection_coil,Heat rejection coil,review,yes,5,4,0,0,0,1,0,3,3,0,0,2,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): thermal_path, electrical_power, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
power_distribution:dc_busbars,power_distribution,DC And AC Power Distribution,dc_busbars,Main DC busbars,review,yes,4,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): dc_bus, service_access. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
power_distribution:ac_switchgear,power_distribution,DC And AC Power Distribution,ac_switchgear,AC switchgear,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): ac_bus, protective_earth, hardwired_trip. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:auxiliary_power,power_distribution,DC And AC Power Distribution,auxiliary_power,Auxiliary power distribution,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): electrical_power, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:earthing_lightning,power_distribution,DC And AC Power Distribution,earthing_lightning,Earthing and lightning protection,review,yes,5,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): protective_earth, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
maintenance_serviceability:access_doors,maintenance_serviceability,Maintenance And Serviceability,access_doors,Access doors and hardware,review,yes,4,1,1,0,0,0,0,1,2,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_access. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
maintenance_serviceability:service_lighting,maintenance_serviceability,Maintenance And Serviceability,service_lighting,Service lighting,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): electrical_power, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
maintenance_serviceability:lifting_handling,maintenance_serviceability,Maintenance And Serviceability,lifting_handling,Lifting and handling points,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): lifting_points, mechanical_mounts. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
maintenance_serviceability:commissioning_ports,maintenance_serviceability,Maintenance And Serviceability,commissioning_ports,Commissioning ports,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): service_access, sensor_bus, dc_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:pump_station,mass_fluid_transport_process,Coolant Circulation Process,pump_station,Coolant pump station,review,yes,5,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): thermal_loop, electrical_power, sensor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
mass_fluid_transport_process:filtration_treatment,mass_fluid_transport_process,Coolant Circulation Process,filtration_treatment,Filtration and treatment,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): thermal_loop, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:expansion_air_removal,mass_fluid_transport_process,Coolant Circulation Process,expansion_air_removal,Expansion and air removal,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): thermal_loop, sensor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:heat_exchanger_manifold,mass_fluid_transport_process,Coolant Circulation Process,heat_exchanger_manifold,Heat exchanger manifold,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): thermal_loop, service_access, sensor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
hmi_ergonomics:local_hmi,hmi_ergonomics,Operator HMI And Labelling,local_hmi,Local HMI panel,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): site_scada, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
hmi_ergonomics:external_labelling,hmi_ergonomics,Operator HMI And Labelling,external_labelling,External labelling,review,yes,4,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence.
hmi_ergonomics:operator_workflow,hmi_ergonomics,Operator HMI And Labelling,operator_workflow,Operator workflow aids,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
hmi_ergonomics:remote_notification,hmi_ergonomics,Operator HMI And Labelling,remote_notification,Remote notification interface,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): site_scada, alarm_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
