id,sequence,kind,subjectId,currentRef,currentReferenceClass,currentStatus,replacementTarget,acceptedReferenceClasses,requiredFields,sourceArtifacts,exitCriteria,blocksBom,blocksPublish,action
replace:11:sourcing:11:bms_slave_pcb,11,sourcing,bms_slave_pcb,test-fixture://review-evidence-closure/source/bms_slave_pcb,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:11:bms_slave_pcb with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:12:sourcing:12:afe_monitor_ic,12,sourcing,afe_monitor_ic,test-fixture://review-evidence-closure/source/afe_monitor_ic,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:12:afe_monitor_ic with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:13:sourcing:13:ntc_thermistor_harness,13,sourcing,ntc_thermistor_harness,test-fixture://review-evidence-closure/source/ntc_thermistor_harness,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:13:ntc_thermistor_harness with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:14:sourcing:14:isolated_can_transceiver,14,sourcing,isolated_can_transceiver,test-fixture://review-evidence-closure/source/isolated_can_transceiver,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:14:isolated_can_transceiver with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:15:sourcing:15:conformal_coating,15,sourcing,conformal_coating,test-fixture://review-evidence-closure/source/conformal_coating,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:15:conformal_coating with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:16:sourcing:16:dc_contactor_or_breaker,16,sourcing,dc_contactor_or_breaker,test-fixture://review-evidence-closure/source/dc_contactor_or_breaker,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:16:dc_contactor_or_breaker with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:17:sourcing:17:precharge_resistor,17,sourcing,precharge_resistor,test-fixture://review-evidence-closure/source/precharge_resistor,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:17:precharge_resistor with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:18:sourcing:18:hv_fuse_holder,18,sourcing,hv_fuse_holder,test-fixture://review-evidence-closure/source/hv_fuse_holder,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:18:hv_fuse_holder with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:19:sourcing:19:pack_current_sensor,19,sourcing,pack_current_sensor,test-fixture://review-evidence-closure/source/pack_current_sensor,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:19:pack_current_sensor with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:20:sourcing:20:service_disconnect,20,sourcing,service_disconnect,test-fixture://review-evidence-closure/source/service_disconnect,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:20:service_disconnect with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:21:sourcing:21:cell_voltage_sense_loom,21,sourcing,cell_voltage_sense_loom,test-fixture://review-evidence-closure/source/cell_voltage_sense_loom,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:21:cell_voltage_sense_loom with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:22:sourcing:22:rack_can_drop_cable,22,sourcing,rack_can_drop_cable,test-fixture://review-evidence-closure/source/rack_can_drop_cable,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:22:rack_can_drop_cable with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:23:sourcing:23:harness_strain_relief_rail,23,sourcing,harness_strain_relief_rail,test-fixture://review-evidence-closure/source/harness_strain_relief_rail,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:23:harness_strain_relief_rail with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:24:sourcing:24:low_smoke_cable_sleeve,24,sourcing,low_smoke_cable_sleeve,test-fixture://review-evidence-closure/source/low_smoke_cable_sleeve,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:24:low_smoke_cable_sleeve with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:25:sourcing:25:rack_cold_plate_manifold,25,sourcing,rack_cold_plate_manifold,test-fixture://review-evidence-closure/source/rack_cold_plate_manifold,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:25:rack_cold_plate_manifold with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:26:sourcing:26:thermally_conductive_gap_pad,26,sourcing,thermally_conductive_gap_pad,test-fixture://review-evidence-closure/source/thermally_conductive_gap_pad,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:26:thermally_conductive_gap_pad with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:27:sourcing:27:coolant_quick_connector_pair,27,sourcing,coolant_quick_connector_pair,test-fixture://review-evidence-closure/source/coolant_quick_connector_pair,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:27:coolant_quick_connector_pair with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:28:sourcing:28:rack_drip_tray,28,sourcing,rack_drip_tray,test-fixture://review-evidence-closure/source/rack_drip_tray,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:28:rack_drip_tray with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:29:sourcing:29:leak_detection_rope,29,sourcing,leak_detection_rope,test-fixture://review-evidence-closure/source/leak_detection_rope,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:29:leak_detection_rope with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:30:sourcing:30:pcs_inverter,30,sourcing,pcs_inverter,test-fixture://review-evidence-closure/source/pcs_inverter,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:30:pcs_inverter with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:31:sourcing:31:igbt_power_module,31,sourcing,igbt_power_module,test-fixture://review-evidence-closure/source/igbt_power_module,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:31:igbt_power_module with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:32:sourcing:32:dc_link_capacitor_bank,32,sourcing,dc_link_capacitor_bank,test-fixture://review-evidence-closure/source/dc_link_capacitor_bank,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:32:dc_link_capacitor_bank with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:33:sourcing:33:gate_driver_board,33,sourcing,gate_driver_board,test-fixture://review-evidence-closure/source/gate_driver_board,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:33:gate_driver_board with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:34:sourcing:34:inverter_control_board,34,sourcing,inverter_control_board,test-fixture://review-evidence-closure/source/inverter_control_board,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:34:inverter_control_board with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
replace:35:sourcing:35:liquid_cooled_heatsink,35,sourcing,liquid_cooled_heatsink,test-fixture://review-evidence-closure/source/liquid_cooled_heatsink,protocol_fixture,protocol_fixture,external_supplier_or_catalogue_url,external_url,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.evidence-authenticity-gate.csv,"Sourcing record uses a retrievable external supplier or catalogue URL.; BoM provenance manifest marks supplier, manufacturer, MPN, unit cost and lead time as source-backed where claimed.; Evidence Authenticity Gate row becomes accepted_production_evidence.",yes,yes,Replace sourcing:35:liquid_cooled_heatsink with source-backed supplier/catalogue evidence before this BoM line can support trusted publication.
