lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
energy_storage_source_bms_slave_bms_slave_pcb,bms_slave_pcb,BMS slave PCB,1,,unique_allocation,candidate,admitted_priced,1,candidate,110,110,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-11-bms_slave_pcb,8,priced,test-fixture://review-evidence-closure/source/bms_slave_pcb,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_bms_slave_afe_monitor_ic,afe_monitor_ic,AFE monitor IC,1,,unique_allocation,candidate,admitted_priced,1,candidate,111,111,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-12-afe_monitor_ic,8,priced,test-fixture://review-evidence-closure/source/afe_monitor_ic,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_bms_slave_ntc_thermistor_harness,ntc_thermistor_harness,NTC thermistor harness,1,,unique_allocation,candidate,admitted_priced,1,candidate,112,112,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-13-ntc_thermistor_harness,8,priced,test-fixture://review-evidence-closure/source/ntc_thermistor_harness,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_bms_slave_isolated_can_transceiver,isolated_can_transceiver,isolated CAN transceiver,1,,unique_allocation,candidate,admitted_priced,1,candidate,113,113,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-14-isolated_can_transceiver,8,priced,test-fixture://review-evidence-closure/source/isolated_can_transceiver,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_bms_slave_conformal_coating,conformal_coating,conformal coating,1,,unique_allocation,candidate,admitted_priced,1,candidate,114,114,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-15-conformal_coating,8,priced,test-fixture://review-evidence-closure/source/conformal_coating,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_dc_string_output_dc_contactor_or_breaker,dc_contactor_or_breaker,DC contactor or breaker,1,,unique_allocation,critical,admitted_priced,1,candidate,115,115,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-16-dc_contactor_or_breaker,8,priced,test-fixture://review-evidence-closure/source/dc_contactor_or_breaker,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_dc_string_output_precharge_resistor,precharge_resistor,precharge resistor,1,,unique_allocation,candidate,admitted_priced,1,candidate,116,116,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-17-precharge_resistor,8,priced,test-fixture://review-evidence-closure/source/precharge_resistor,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_dc_string_output_hv_fuse_holder,hv_fuse_holder,HV fuse holder,1,,unique_allocation,candidate,admitted_priced,1,candidate,117,117,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-18-hv_fuse_holder,8,priced,test-fixture://review-evidence-closure/source/hv_fuse_holder,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_dc_string_output_pack_current_sensor,pack_current_sensor,pack current sensor,1,,unique_allocation,candidate,admitted_priced,1,candidate,118,118,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-19-pack_current_sensor,8,priced,test-fixture://review-evidence-closure/source/pack_current_sensor,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_dc_string_output_service_disconnect,service_disconnect,service disconnect,1,,unique_allocation,candidate,admitted_priced,1,candidate,119,119,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-20-service_disconnect,8,priced,test-fixture://review-evidence-closure/source/service_disconnect,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_module_interconnect_harness_cell_voltage_sense_loom,cell_voltage_sense_loom,cell voltage sense loom,1,,unique_allocation,candidate,admitted_priced,1,candidate,120,120,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-21-cell_voltage_sense_loom,8,priced,test-fixture://review-evidence-closure/source/cell_voltage_sense_loom,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_module_interconnect_harness_rack_can_drop_cable,rack_can_drop_cable,rack CAN drop cable,1,,unique_allocation,candidate,admitted_priced,1,candidate,121,121,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-22-rack_can_drop_cable,8,priced,test-fixture://review-evidence-closure/source/rack_can_drop_cable,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_module_interconnect_harness_harness_strain_relief_rail,harness_strain_relief_rail,harness strain relief rail,1,,unique_allocation,candidate,admitted_priced,1,candidate,122,122,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-23-harness_strain_relief_rail,8,priced,test-fixture://review-evidence-closure/source/harness_strain_relief_rail,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_module_interconnect_harness_low_smoke_cable_sleeve,low_smoke_cable_sleeve,low-smoke cable sleeve,1,,unique_allocation,candidate,admitted_priced,1,candidate,123,123,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-24-low_smoke_cable_sleeve,8,priced,test-fixture://review-evidence-closure/source/low_smoke_cable_sleeve,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_thermal_interface_rack_cold_plate_manifold,rack_cold_plate_manifold,rack cold plate manifold,1,,unique_allocation,candidate,admitted_priced,1,candidate,124,124,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-25-rack_cold_plate_manifold,8,priced,test-fixture://review-evidence-closure/source/rack_cold_plate_manifold,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_thermal_interface_thermally_conductive_gap_pad,thermally_conductive_gap_pad,thermally conductive gap pad,1,,unique_allocation,candidate,admitted_priced,1,candidate,125,125,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-26-thermally_conductive_gap_pad,8,priced,test-fixture://review-evidence-closure/source/thermally_conductive_gap_pad,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_thermal_interface_coolant_quick_connector_pair,coolant_quick_connector_pair,coolant quick connector pair,1,,unique_allocation,candidate,admitted_priced,1,candidate,126,126,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-27-coolant_quick_connector_pair,8,priced,test-fixture://review-evidence-closure/source/coolant_quick_connector_pair,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_thermal_interface_rack_drip_tray,rack_drip_tray,rack drip tray,1,,unique_allocation,candidate,admitted_priced,1,candidate,127,127,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-28-rack_drip_tray,8,priced,test-fixture://review-evidence-closure/source/rack_drip_tray,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_thermal_interface_leak_detection_rope,leak_detection_rope,leak detection rope,1,,unique_allocation,candidate,admitted_priced,1,candidate,128,128,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-29-leak_detection_rope,8,priced,test-fixture://review-evidence-closure/source/leak_detection_rope,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_pcs_inverter,pcs_inverter,PCS inverter,1,,unique_allocation,critical,admitted_priced,1,candidate,129,129,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-30-pcs_inverter,8,priced,test-fixture://review-evidence-closure/source/pcs_inverter,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_igbt_power_module,igbt_power_module,IGBT power module,1,,unique_allocation,candidate,admitted_priced,1,candidate,130,130,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-31-igbt_power_module,8,priced,test-fixture://review-evidence-closure/source/igbt_power_module,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_dc_link_capacitor_bank,dc_link_capacitor_bank,DC link capacitor bank,1,,unique_allocation,candidate,admitted_priced,1,candidate,131,131,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-32-dc_link_capacitor_bank,8,priced,test-fixture://review-evidence-closure/source/dc_link_capacitor_bank,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_gate_driver_board,gate_driver_board,gate driver board,1,,unique_allocation,candidate,admitted_priced,1,candidate,132,132,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-33-gate_driver_board,8,priced,test-fixture://review-evidence-closure/source/gate_driver_board,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_inverter_control_board,inverter_control_board,inverter control board,1,,unique_allocation,candidate,admitted_priced,1,candidate,133,133,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-34-inverter_control_board,8,priced,test-fixture://review-evidence-closure/source/inverter_control_board,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_pcs_inverter_liquid_cooled_heatsink,liquid_cooled_heatsink,liquid-cooled heatsink,1,,unique_allocation,candidate,admitted_priced,1,candidate,134,134,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-35-liquid_cooled_heatsink,8,priced,test-fixture://review-evidence-closure/source/liquid_cooled_heatsink,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_transformer_stage_cast_resin_transformer,cast_resin_transformer,cast resin transformer,1,,unique_allocation,candidate,admitted_priced,1,candidate,135,135,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-36-cast_resin_transformer,8,priced,test-fixture://review-evidence-closure/source/cast_resin_transformer,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_transformer_stage_hv_winding,hv_winding,HV winding,1,,unique_allocation,candidate,admitted_priced,1,candidate,136,136,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-37-hv_winding,8,priced,test-fixture://review-evidence-closure/source/hv_winding,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_transformer_stage_lv_winding,lv_winding,LV winding,1,,unique_allocation,candidate,admitted_priced,1,candidate,137,137,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-38-lv_winding,8,priced,test-fixture://review-evidence-closure/source/lv_winding,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_transformer_stage_temperature_probe,temperature_probe,temperature probe,1,,unique_allocation,candidate,admitted_priced,1,candidate,138,138,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-39-temperature_probe,8,priced,test-fixture://review-evidence-closure/source/temperature_probe,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_transformer_stage_anti_vibration_mount,anti_vibration_mount,anti-vibration mount,1,,unique_allocation,candidate,admitted_priced,1,candidate,139,139,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-40-anti_vibration_mount,8,priced,test-fixture://review-evidence-closure/source/anti_vibration_mount,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_filter_grid_filter_choke,grid_filter_choke,grid filter choke,1,,unique_allocation,candidate,admitted_priced,1,candidate,140,140,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-41-grid_filter_choke,8,priced,test-fixture://review-evidence-closure/source/grid_filter_choke,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_filter_ac_filter_capacitor,ac_filter_capacitor,AC filter capacitor,1,,unique_allocation,candidate,admitted_priced,1,candidate,141,141,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-42-ac_filter_capacitor,8,priced,test-fixture://review-evidence-closure/source/ac_filter_capacitor,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_filter_emi_filter_assembly,emi_filter_assembly,EMI filter assembly,1,,unique_allocation,candidate,admitted_priced,1,candidate,142,142,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-43-emi_filter_assembly,8,priced,test-fixture://review-evidence-closure/source/emi_filter_assembly,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_filter_protective_earth_bar,protective_earth_bar,protective earth bar,1,,unique_allocation,candidate,admitted_priced,1,candidate,143,143,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-44-protective_earth_bar,8,priced,test-fixture://review-evidence-closure/source/protective_earth_bar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_protection_relay_grid_protection_relay,grid_protection_relay,grid protection relay,1,,unique_allocation,candidate,admitted_priced,1,candidate,144,144,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-45-grid_protection_relay,8,priced,test-fixture://review-evidence-closure/source/grid_protection_relay,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_protection_relay_voltage_sensing_fuse_set,voltage_sensing_fuse_set,voltage sensing fuse set,1,,unique_allocation,candidate,admitted_priced,1,candidate,145,145,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-46-voltage_sensing_fuse_set,8,priced,test-fixture://review-evidence-closure/source/voltage_sensing_fuse_set,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_protection_relay_relay_test_block,relay_test_block,relay test block,1,,unique_allocation,candidate,admitted_priced,1,candidate,146,146,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-47-relay_test_block,8,priced,test-fixture://review-evidence-closure/source/relay_test_block,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_protection_relay_trip_circuit_monitor,trip_circuit_monitor,trip circuit monitor,1,,unique_allocation,candidate,admitted_priced,1,candidate,147,147,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-48-trip_circuit_monitor,8,priced,test-fixture://review-evidence-closure/source/trip_circuit_monitor,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_conversion_transduction_grid_protection_relay_g99_settings_label,g99_settings_label,G99 settings label,1,,unique_allocation,candidate,admitted_priced,1,candidate,148,148,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-49-g99_settings_label,8,priced,test-fixture://review-evidence-closure/source/g99_settings_label,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_container_shell_corten_steel_side_panel,corten_steel_side_panel,corten steel side panel,1,,unique_allocation,candidate,admitted_priced,1,candidate,149,149,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-50-corten_steel_side_panel,8,priced,test-fixture://review-evidence-closure/source/corten_steel_side_panel,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_container_shell_corner_casting,corner_casting,corner casting,1,,unique_allocation,candidate,admitted_priced,1,candidate,150,150,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-51-corner_casting,8,priced,test-fixture://review-evidence-closure/source/corner_casting,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_container_shell_marine_plywood_floor,marine_plywood_floor,marine plywood floor,1,,unique_allocation,candidate,admitted_priced,1,candidate,151,151,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-52-marine_plywood_floor,8,priced,test-fixture://review-evidence-closure/source/marine_plywood_floor,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_container_shell_roof_panel,roof_panel,roof panel,1,,unique_allocation,candidate,admitted_priced,1,candidate,152,152,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-53-roof_panel,8,priced,test-fixture://review-evidence-closure/source/roof_panel,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_internal_partitions_steel_stud_frame,steel_stud_frame,steel stud frame,1,,unique_allocation,candidate,admitted_priced,1,candidate,153,153,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-54-steel_stud_frame,8,priced,test-fixture://review-evidence-closure/source/steel_stud_frame,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_internal_partitions_fire_rated_board,fire_rated_board,fire-rated board,1,,unique_allocation,candidate,admitted_priced,1,candidate,154,154,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-55-fire_rated_board,8,priced,test-fixture://review-evidence-closure/source/fire_rated_board,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_internal_partitions_mineral_wool_insulation,mineral_wool_insulation,mineral wool insulation,1,,unique_allocation,candidate,admitted_priced,1,candidate,155,155,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-56-mineral_wool_insulation,8,priced,test-fixture://review-evidence-closure/source/mineral_wool_insulation,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_internal_partitions_intumescent_sealant,intumescent_sealant,intumescent sealant,1,,unique_allocation,candidate,admitted_priced,1,candidate,156,156,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-57-intumescent_sealant,8,priced,test-fixture://review-evidence-closure/source/intumescent_sealant,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_rack_mounting_floor_reinforcement_plate,floor_reinforcement_plate,floor reinforcement plate,1,,unique_allocation,candidate,admitted_priced,1,candidate,157,157,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-58-floor_reinforcement_plate,8,priced,test-fixture://review-evidence-closure/source/floor_reinforcement_plate,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_rack_mounting_rack_mounting_rail,rack_mounting_rail,rack mounting rail,1,,unique_allocation,candidate,admitted_priced,1,candidate,158,158,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-59-rack_mounting_rail,8,priced,test-fixture://review-evidence-closure/source/rack_mounting_rail,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_rack_mounting_vibration_isolator,vibration_isolator,vibration isolator,1,,unique_allocation,candidate,admitted_priced,1,candidate,159,159,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-60-vibration_isolator,8,priced,test-fixture://review-evidence-closure/source/vibration_isolator,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
structure_containment_rack_mounting_anchor_bolt_set,anchor_bolt_set,anchor bolt set,1,,unique_allocation,candidate,admitted_priced,1,candidate,160,160,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-61-anchor_bolt_set,8,priced,test-fixture://review-evidence-closure/source/anchor_bolt_set,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
