id,kind,subjectId,ref,referenceClass,status,reviewerName,timestamp,sourceGrade,reason,requiredAction
sourcing:11:bms_slave_pcb,sourcing,bms_slave_pcb,test-fixture://review-evidence-closure/source/bms_slave_pcb,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:12:afe_monitor_ic,sourcing,afe_monitor_ic,test-fixture://review-evidence-closure/source/afe_monitor_ic,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:13:ntc_thermistor_harness,sourcing,ntc_thermistor_harness,test-fixture://review-evidence-closure/source/ntc_thermistor_harness,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:14:isolated_can_transceiver,sourcing,isolated_can_transceiver,test-fixture://review-evidence-closure/source/isolated_can_transceiver,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:15:conformal_coating,sourcing,conformal_coating,test-fixture://review-evidence-closure/source/conformal_coating,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:16:dc_contactor_or_breaker,sourcing,dc_contactor_or_breaker,test-fixture://review-evidence-closure/source/dc_contactor_or_breaker,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:17:precharge_resistor,sourcing,precharge_resistor,test-fixture://review-evidence-closure/source/precharge_resistor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:18:hv_fuse_holder,sourcing,hv_fuse_holder,test-fixture://review-evidence-closure/source/hv_fuse_holder,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:19:pack_current_sensor,sourcing,pack_current_sensor,test-fixture://review-evidence-closure/source/pack_current_sensor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:20:service_disconnect,sourcing,service_disconnect,test-fixture://review-evidence-closure/source/service_disconnect,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:21:cell_voltage_sense_loom,sourcing,cell_voltage_sense_loom,test-fixture://review-evidence-closure/source/cell_voltage_sense_loom,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:22:rack_can_drop_cable,sourcing,rack_can_drop_cable,test-fixture://review-evidence-closure/source/rack_can_drop_cable,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:23:harness_strain_relief_rail,sourcing,harness_strain_relief_rail,test-fixture://review-evidence-closure/source/harness_strain_relief_rail,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:24:low_smoke_cable_sleeve,sourcing,low_smoke_cable_sleeve,test-fixture://review-evidence-closure/source/low_smoke_cable_sleeve,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:25:rack_cold_plate_manifold,sourcing,rack_cold_plate_manifold,test-fixture://review-evidence-closure/source/rack_cold_plate_manifold,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:26:thermally_conductive_gap_pad,sourcing,thermally_conductive_gap_pad,test-fixture://review-evidence-closure/source/thermally_conductive_gap_pad,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:27:coolant_quick_connector_pair,sourcing,coolant_quick_connector_pair,test-fixture://review-evidence-closure/source/coolant_quick_connector_pair,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:28:rack_drip_tray,sourcing,rack_drip_tray,test-fixture://review-evidence-closure/source/rack_drip_tray,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:29:leak_detection_rope,sourcing,leak_detection_rope,test-fixture://review-evidence-closure/source/leak_detection_rope,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:30:pcs_inverter,sourcing,pcs_inverter,test-fixture://review-evidence-closure/source/pcs_inverter,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:31:igbt_power_module,sourcing,igbt_power_module,test-fixture://review-evidence-closure/source/igbt_power_module,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:32:dc_link_capacitor_bank,sourcing,dc_link_capacitor_bank,test-fixture://review-evidence-closure/source/dc_link_capacitor_bank,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:33:gate_driver_board,sourcing,gate_driver_board,test-fixture://review-evidence-closure/source/gate_driver_board,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:34:inverter_control_board,sourcing,inverter_control_board,test-fixture://review-evidence-closure/source/inverter_control_board,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:35:liquid_cooled_heatsink,sourcing,liquid_cooled_heatsink,test-fixture://review-evidence-closure/source/liquid_cooled_heatsink,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:36:cast_resin_transformer,sourcing,cast_resin_transformer,test-fixture://review-evidence-closure/source/cast_resin_transformer,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:37:hv_winding,sourcing,hv_winding,test-fixture://review-evidence-closure/source/hv_winding,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:38:lv_winding,sourcing,lv_winding,test-fixture://review-evidence-closure/source/lv_winding,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:39:temperature_probe,sourcing,temperature_probe,test-fixture://review-evidence-closure/source/temperature_probe,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:40:anti_vibration_mount,sourcing,anti_vibration_mount,test-fixture://review-evidence-closure/source/anti_vibration_mount,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:41:grid_filter_choke,sourcing,grid_filter_choke,test-fixture://review-evidence-closure/source/grid_filter_choke,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:42:ac_filter_capacitor,sourcing,ac_filter_capacitor,test-fixture://review-evidence-closure/source/ac_filter_capacitor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:43:emi_filter_assembly,sourcing,emi_filter_assembly,test-fixture://review-evidence-closure/source/emi_filter_assembly,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:44:protective_earth_bar,sourcing,protective_earth_bar,test-fixture://review-evidence-closure/source/protective_earth_bar,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:45:grid_protection_relay,sourcing,grid_protection_relay,test-fixture://review-evidence-closure/source/grid_protection_relay,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:46:voltage_sensing_fuse_set,sourcing,voltage_sensing_fuse_set,test-fixture://review-evidence-closure/source/voltage_sensing_fuse_set,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:47:relay_test_block,sourcing,relay_test_block,test-fixture://review-evidence-closure/source/relay_test_block,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:48:trip_circuit_monitor,sourcing,trip_circuit_monitor,test-fixture://review-evidence-closure/source/trip_circuit_monitor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:49:g99_settings_label,sourcing,g99_settings_label,test-fixture://review-evidence-closure/source/g99_settings_label,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:50:corten_steel_side_panel,sourcing,corten_steel_side_panel,test-fixture://review-evidence-closure/source/corten_steel_side_panel,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:51:corner_casting,sourcing,corner_casting,test-fixture://review-evidence-closure/source/corner_casting,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:52:marine_plywood_floor,sourcing,marine_plywood_floor,test-fixture://review-evidence-closure/source/marine_plywood_floor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:53:roof_panel,sourcing,roof_panel,test-fixture://review-evidence-closure/source/roof_panel,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:54:steel_stud_frame,sourcing,steel_stud_frame,test-fixture://review-evidence-closure/source/steel_stud_frame,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:55:fire_rated_board,sourcing,fire_rated_board,test-fixture://review-evidence-closure/source/fire_rated_board,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:56:mineral_wool_insulation,sourcing,mineral_wool_insulation,test-fixture://review-evidence-closure/source/mineral_wool_insulation,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:57:intumescent_sealant,sourcing,intumescent_sealant,test-fixture://review-evidence-closure/source/intumescent_sealant,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:58:floor_reinforcement_plate,sourcing,floor_reinforcement_plate,test-fixture://review-evidence-closure/source/floor_reinforcement_plate,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:59:rack_mounting_rail,sourcing,rack_mounting_rail,test-fixture://review-evidence-closure/source/rack_mounting_rail,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:60:vibration_isolator,sourcing,vibration_isolator,test-fixture://review-evidence-closure/source/vibration_isolator,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:61:anchor_bolt_set,sourcing,anchor_bolt_set,test-fixture://review-evidence-closure/source/anchor_bolt_set,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:62:gland_plate_assembly,sourcing,gland_plate_assembly,test-fixture://review-evidence-closure/source/gland_plate_assembly,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:63:firestop_collar_set,sourcing,firestop_collar_set,test-fixture://review-evidence-closure/source/firestop_collar_set,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:64:emc_cable_gland,sourcing,emc_cable_gland,test-fixture://review-evidence-closure/source/emc_cable_gland,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:65:rain_drip_shield,sourcing,rain_drip_shield,test-fixture://review-evidence-closure/source/rain_drip_shield,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:66:penetration_schedule_label,sourcing,penetration_schedule_label,test-fixture://review-evidence-closure/source/penetration_schedule_label,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:67:dc_voltage_transducer,sourcing,dc_voltage_transducer,test-fixture://review-evidence-closure/source/dc_voltage_transducer,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:68:hall_current_sensor,sourcing,hall_current_sensor,test-fixture://review-evidence-closure/source/hall_current_sensor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:69:insulation_monitoring_device,sourcing,insulation_monitoring_device,test-fixture://review-evidence-closure/source/insulation_monitoring_device,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:70:auxiliary_metering_transducer,sourcing,auxiliary_metering_transducer,test-fixture://review-evidence-closure/source/auxiliary_metering_transducer,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:71:temperature_humidity_sensor,sourcing,temperature_humidity_sensor,test-fixture://review-evidence-closure/source/temperature_humidity_sensor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:72:hydrogen_detector,sourcing,hydrogen_detector,test-fixture://review-evidence-closure/source/hydrogen_detector,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:73:smoke_aspirating_detector,sourcing,smoke_aspirating_detector,test-fixture://review-evidence-closure/source/smoke_aspirating_detector,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:74:door_position_switch,sourcing,door_position_switch,test-fixture://review-evidence-closure/source/door_position_switch,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:75:coolant_inlet_thermistor,sourcing,coolant_inlet_thermistor,test-fixture://review-evidence-closure/source/coolant_inlet_thermistor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:76:coolant_outlet_thermistor,sourcing,coolant_outlet_thermistor,test-fixture://review-evidence-closure/source/coolant_outlet_thermistor,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:77:flow_meter,sourcing,flow_meter,test-fixture://review-evidence-closure/source/flow_meter,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:78:pressure_transducer,sourcing,pressure_transducer,test-fixture://review-evidence-closure/source/pressure_transducer,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:79:fault_recorder_module,sourcing,fault_recorder_module,test-fixture://review-evidence-closure/source/fault_recorder_module,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:80:event_timestamp_logger,sourcing,event_timestamp_logger,test-fixture://review-evidence-closure/source/event_timestamp_logger,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:81:digital_input_card,sourcing,digital_input_card,test-fixture://review-evidence-closure/source/digital_input_card,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:82:local_historian_buffer,sourcing,local_historian_buffer,test-fixture://review-evidence-closure/source/local_historian_buffer,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:83:calibration_certificate_holder,sourcing,calibration_certificate_holder,test-fixture://review-evidence-closure/source/calibration_certificate_holder,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:84:bms_master_controller,sourcing,bms_master_controller,test-fixture://review-evidence-closure/source/bms_master_controller,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:85:isolation_interface,sourcing,isolation_interface,test-fixture://review-evidence-closure/source/isolation_interface,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
